age,gender,height,weight,bmi,activity_level,goal,exercise_frequency,target_calories
54,female,164.2,53.4,19.81,light,gain,2,2007
61,male,182.8,76.3,22.83,moderate,build_muscle,3,2835
36,female,164.3,59.4,22.0,active,gain,6,2718
34,male,176.0,64.8,20.92,moderate,lose,5,2132
55,female,156.2,70.6,28.94,active,gain,6,2799
24,male,180.8,78.3,23.95,light,maintain,1,2456
66,female,156.9,80.1,32.54,sedentary,lose,0,1200
46,male,175.4,65.8,21.39,moderate,gain,3,2853
19,female,157.2,64.0,25.9,active,lose,6,2136
68,female,167.7,66.4,23.61,light,maintain,3,1809
38,female,164.9,64.4,23.68,moderate,lose,4,1710
65,male,166.4,76.3,27.56,sedentary,maintain,1,1836
43,male,172.5,69.9,23.49,moderate,lose,5,2137
42,female,160.0,70.6,27.58,light,gain,1,2221
52,male,178.7,86.7,27.15,light,lose,2,1948
57,female,161.3,58.8,22.6,light,maintain,1,1627
57,female,154.2,54.2,22.79,light,lose,1,1200
44,female,172.8,51.2,17.15,light,maintain,3,1744
53,male,179.3,85.3,26.53,sedentary,build_muscle,0,2364
26,female,150.1,66.7,29.6,moderate,gain,4,2559
44,female,161.1,51.5,19.84,sedentary,maintain,0,1362
28,female,168.4,65.7,23.17,moderate,maintain,5,2314
54,male,186.4,90.8,26.13,active,lose,4,2811
45,male,167.4,95.6,34.12,moderate,lose,3,2457
34,female,155.5,79.5,32.88,light,build_muscle,1,2274
63,female,174.1,54.1,17.85,moderate,gain,3,2219
54,male,172.2,84.5,28.5,light,lose,3,1920
26,male,186.1,98.2,28.35,active,build_muscle,6,3930
62,male,180.0,68.7,21.2,moderate,build_muscle,5,2746
58,female,165.4,52.6,19.23,moderate,build_muscle,3,2093
50,female,163.0,46.1,17.35,active,maintain,5,2017
64,male,176.5,94.2,30.24,moderate,build_muscle,5,3098
31,female,175.8,58.9,19.06,light,lose,2,1482
68,female,170.8,53.7,18.41,sedentary,lose,1,1200
25,male,180.2,72.7,22.39,light,build_muscle,2,2719
59,male,187.7,67.5,19.16,active,lose,5,2480
23,female,152.5,80.2,34.49,sedentary,lose,1,1351
59,female,151.4,67.1,29.27,sedentary,lose,0,1200
18,female,169.4,63.5,22.13,sedentary,build_muscle,0,1956
64,male,176.8,78.1,24.99,light,lose,2,1765
59,male,180.4,75.7,23.26,light,lose,3,1864
58,male,182.4,75.7,22.75,moderate,maintain,3,2525
24,male,178.6,81.1,25.42,moderate,lose,4,2491
59,female,166.5,75.1,27.09,moderate,maintain,5,2268
60,male,179.9,69.8,21.57,moderate,lose,4,2054
49,male,178.6,68.7,21.54,moderate,lose,3,2095
38,female,172.4,79.1,26.61,moderate,lose,5,2096
19,male,184.0,74.2,21.92,sedentary,build_muscle,1,2444
58,female,160.2,44.7,17.42,light,maintain,3,1429
23,female,160.8,58.2,22.51,sedentary,build_muscle,1,1897
55,female,154.2,47.4,19.93,moderate,lose,5,1200
21,male,183.6,77.0,22.84,sedentary,maintain,0,2261
60,female,162.4,45.0,17.06,sedentary,gain,0,1599
28,female,177.8,50.3,15.91,active,gain,4,2797
39,male,178.2,66.3,20.88,sedentary,gain,0,2212
49,male,176.2,81.0,26.09,sedentary,gain,0,2339
65,male,173.6,75.8,25.15,active,lose,5,2301
20,male,189.6,48.8,13.58,moderate,maintain,4,2561
44,male,182.1,70.2,21.17,active,maintain,4,2868
32,male,175.8,88.3,28.57,very_active,lose,6,3138
67,female,166.5,54.9,19.8,moderate,lose,3,1334
47,male,189.5,52.5,14.62,very_active,gain,7,3475
27,male,184.2,76.5,22.55,sedentary,lose,0,1695
65,female,162.9,62.3,23.48,light,lose,2,1200
27,male,175.2,70.4,22.94,active,build_muscle,6,3275
65,female,170.7,67.2,23.06,sedentary,build_muscle,0,1761
45,male,173.8,70.1,23.21,light,build_muscle,2,2458
46,female,152.1,62.4,26.97,sedentary,gain,0,1784
24,male,180.6,88.5,27.13,light,maintain,1,2609
23,male,178.7,86.9,27.21,active,gain,4,3770
38,male,183.5,92.4,27.44,very_active,lose,5,3296
19,male,170.4,100.4,34.58,moderate,maintain,3,3152
24,female,164.3,57.3,21.23,sedentary,build_muscle,0,1877
61,female,172.5,52.2,17.54,moderate,lose,3,1376
22,male,179.7,93.7,29.02,active,lose,5,3158
28,male,189.3,88.3,24.64,moderate,maintain,4,3116
29,female,153.7,82.1,34.75,light,maintain,1,2111
59,male,178.4,72.3,22.72,moderate,lose,4,2124
26,female,154.2,70.7,29.73,moderate,lose,5,1893
48,female,142.7,50.8,24.95,active,maintain,5,1887
29,female,172.3,65.4,22.03,sedentary,build_muscle,1,2096
67,female,170.8,56.1,19.23,sedentary,lose,0,1200
52,female,169.3,42.0,14.65,sedentary,build_muscle,0,1430
40,female,153.9,94.2,39.77,sedentary,lose,1,1394
55,female,173.7,66.0,21.87,active,maintain,6,2532
52,female,158.8,58.4,23.16,sedentary,lose,0,1200
51,male,168.9,77.6,27.2,moderate,build_muscle,4,2825
21,female,147.7,77.5,35.53,active,gain,6,3037
22,female,151.3,81.7,35.69,light,lose,2,1629
68,female,180.2,54.9,16.91,light,gain,3,2039
32,female,156.5,45.6,18.62,light,gain,2,1990
67,female,171.1,65.8,22.48,moderate,build_muscle,5,2332
58,male,158.8,63.8,25.3,sedentary,gain,0,1947
63,male,181.8,65.9,19.94,light,lose,1,1578
62,male,181.6,80.1,24.29,sedentary,lose,1,1508
44,male,179.2,63.3,19.71,light,lose,2,1736
28,male,162.3,83.0,31.51,sedentary,lose,1,1649
42,male,175.1,78.7,25.67,active,build_muscle,5,3328
63,female,179.4,68.1,21.16,sedentary,build_muscle,0,1871
44,male,178.4,69.2,21.74,moderate,lose,4,2105
33,female,168.8,69.2,24.29,light,maintain,1,1965
60,female,168.7,54.1,19.01,sedentary,lose,1,1200
48,male,179.8,66.7,20.63,light,maintain,3,2239
29,female,173.0,55.6,18.58,sedentary,lose,1,1207
34,female,163.8,71.6,26.69,sedentary,gain,0,2068
66,female,166.3,51.2,18.51,active,build_muscle,5,2230
54,female,168.9,54.5,19.1,sedentary,build_muscle,0,1578
25,male,175.8,89.5,28.96,active,lose,4,2910
26,male,179.1,77.4,24.13,moderate,lose,5,2494
64,female,170.5,66.5,22.88,light,lose,2,1332
51,female,149.3,68.8,30.87,moderate,maintain,5,2046
27,male,172.2,60.3,20.34,very_active,lose,5,2650
68,male,173.8,91.7,30.36,light,maintain,2,2338
20,female,155.5,68.2,28.2,moderate,gain,4,2680
43,male,181.5,68.5,20.79,sedentary,gain,1,2322
37,female,162.1,60.6,23.06,moderate,lose,3,1668
37,male,184.5,73.7,21.65,active,lose,5,2663
31,female,161.1,72.6,27.97,light,maintain,2,2000
50,male,176.8,71.4,22.84,moderate,maintain,5,2621
30,male,174.7,81.1,26.57,light,build_muscle,3,2749
35,male,169.9,86.7,30.04,light,build_muscle,3,2807
29,female,164.3,75.1,27.82,moderate,lose,4,1962
36,male,178.5,76.7,24.07,active,gain,4,3467
35,male,167.0,67.0,24.02,active,build_muscle,6,3089
48,male,185.8,66.1,19.15,moderate,lose,4,2085
45,female,152.5,80.0,34.4,light,lose,2,1458
55,female,169.7,70.9,24.62,moderate,build_muscle,4,2414
37,female,159.5,57.9,22.76,light,lose,2,1274
34,female,153.4,42.0,17.85,moderate,lose,5,1356
60,female,148.1,60.4,27.54,sedentary,maintain,1,1335
44,female,153.6,73.1,30.98,moderate,build_muscle,3,2355
60,female,172.2,57.1,19.26,sedentary,gain,0,1796
24,female,151.7,66.3,28.81,moderate,maintain,3,2238
32,male,170.4,62.8,21.63,light,gain,2,2580
34,female,156.3,56.7,23.21,sedentary,lose,0,1200
61,male,176.9,67.9,21.7,sedentary,build_muscle,0,2051
39,male,167.3,85.1,30.4,active,maintain,5,3133
49,male,172.2,57.1,19.26,light,lose,2,1644
31,female,163.3,56.3,21.11,moderate,maintain,3,2095
43,female,168.4,51.7,18.23,sedentary,maintain,1,1484
38,male,176.4,60.0,19.28,sedentary,lose,0,1382
26,female,177.2,73.4,23.38,light,lose,1,1742
36,female,154.8,66.6,27.79,light,maintain,3,1914
40,female,162.8,63.0,23.77,active,build_muscle,4,2588
32,male,175.4,69.2,22.49,moderate,maintain,3,2676
42,male,184.8,83.1,24.33,light,lose,1,2015
59,male,177.3,72.5,23.06,sedentary,maintain,0,1814
31,male,173.3,69.8,23.24,light,gain,3,2651
57,female,160.0,59.3,23.16,active,lose,6,1717
49,male,171.6,78.8,26.76,light,maintain,1,2285
63,female,159.5,66.5,26.14,light,build_muscle,3,2014
18,male,173.1,62.6,20.89,active,gain,4,3222
67,male,163.2,74.5,27.97,sedentary,lose,0,1200
47,female,168.2,82.2,29.05,active,build_muscle,5,2993
45,female,162.8,58.1,21.92,moderate,lose,3,1523
46,female,159.3,71.4,28.14,moderate,lose,4,1726
25,male,159.4,95.4,37.55,light,lose,2,2152
25,male,165.0,90.1,33.09,very_active,build_muscle,5,3910
55,female,154.0,64.6,27.24,light,maintain,2,1629
48,male,165.7,81.6,29.72,light,lose,2,1835
18,female,160.0,47.1,18.4,moderate,maintain,5,2080
51,female,180.2,46.1,14.2,sedentary,gain,0,1748
40,female,157.8,49.5,19.88,sedentary,build_muscle,0,1676
49,female,164.2,66.0,24.48,light,lose,2,1370
50,male,178.0,94.4,29.79,light,lose,2,2068
49,male,179.6,69.8,21.64,light,gain,1,2564
44,female,171.6,66.1,22.45,active,gain,6,2845
59,male,163.2,60.9,22.87,light,lose,1,1351
39,female,154.0,57.4,24.2,light,gain,3,2063
18,male,177.1,62.7,19.99,very_active,lose,7,2983
62,female,174.7,77.5,25.39,light,build_muscle,3,2271
30,male,172.3,94.4,31.8,sedentary,build_muscle,0,2548
24,female,163.1,59.6,22.4,moderate,gain,3,2529
49,male,167.3,97.2,34.73,moderate,maintain,5,2932
50,female,166.0,42.0,15.24,moderate,lose,3,1318
50,female,169.2,71.4,24.94,moderate,gain,3,2539
43,female,181.1,56.4,17.2,light,lose,2,1376
62,female,154.2,53.9,22.67,moderate,maintain,3,1695
31,male,171.3,68.4,23.31,light,gain,3,2610
63,female,148.7,70.7,31.97,light,maintain,3,1722
61,female,162.8,42.0,15.85,light,build_muscle,1,1613
21,male,175.7,71.8,23.26,moderate,lose,4,2329
27,female,168.7,48.7,17.11,light,gain,1,2073
65,male,182.8,68.2,20.41,light,gain,3,2496
62,female,154.8,42.0,17.53,light,build_muscle,3,1598
65,male,185.4,75.8,22.05,moderate,build_muscle,3,2879
66,female,153.3,53.5,22.77,sedentary,gain,0,1547
